rollno,name,address,pincode,dob,gender,aadharno,fathername,mothername,mobileno,parentno,sscpercentage,hscpercentage,department,course,year,division,idno
3311,BABAR SAHIL CHANDRAKANT,at post sangola,413317,28-04-2004 00:00,male,7.85E+10,Demo,Demo,9921446743,9529347494,67.8,80.92,Science,BSC [ECS],second,C,1243
3312,BABAR SOHAM UDHDAV,at post sangola,413318,13-06-2001 00:00,female,7.85E+10,Demo,Demo,9196201390,9717163818,80.99,67.58,Science,BSC [ECS],second,C,1244
3313,BAGAL DINOJ KRUSHANDEV,at post sangola,413319,12-01-2004 00:00,female,7.85E+10,Demo,Demo,9833979864,9798717958,62.27,62.94,Science,BSC [ECS],second,C,1245
3314,BANGAR RUTURAJ ANANDA,at post sangola,413320,01-10-2000 00:00,female,7.85E+10,Demo,Demo,9290909541,9410941538,81.09,77.91,Science,BSC [ECS],second,C,1246
3315,BANKAR SHIVAM VILAS,at post sangola,413321,27-07-2003 00:00,female,7.85E+10,Demo,Demo,9550147678,9315040347,67.39,81.19,Science,BSC [ECS],second,C,1247
3316,BANSODE PRAJYOT POPAT,at post sangola,413322,20-01-2002 00:00,male,7.85E+10,Demo,Demo,9708265131,9017147522,60.54,88.34,Science,BSC [ECS],second,C,1248
3317,BANSODE SUMIT ARJUN,at post sangola,413323,04-10-2001 00:00,female,7.85E+10,Demo,Demo,9974989945,9864447079,74.86,85.4,Science,BSC [ECS],second,C,1249
3318,BHOSALE APURAV DATTATRAY,at post sangola,413324,16-02-2004 00:00,male,7.85E+10,Demo,Demo,9801011906,9207436045,78.09,63.83,Science,BSC [ECS],second,C,1250
3319,BHOSALE DHIRAJ ASHOK,at post sangola,413325,12-01-2005 00:00,male,7.85E+10,Demo,Demo,9138219478,9943841833,68.67,82.99,Science,BSC [ECS],second,C,1251
3320,BHOSALE DIKSHA TANAJI,at post sangola,413326,14-01-2000 00:00,male,7.85E+10,Demo,Demo,9485569798,9920041534,74.15,74.5,Science,BSC [ECS],second,C,1252
3321,BHOSALE DINESH SUBHASH,at post sangola,413327,22-03-2003 00:00,female,7.85E+10,Demo,Demo,9232563951,9210495147,62.11,86.73,Science,BSC [ECS],second,C,1253
3322,BHOSALE SAKSHI PANDURANG,at post sangola,413328,04-04-2000 00:00,male,7.85E+10,Demo,Demo,9363003009,9975187399,84.3,84.11,Science,BSC [ECS],second,C,1254
3323,BHOSALE SANDIP SHANKAR,at post sangola,413329,05-07-2004 00:00,female,7.85E+10,Demo,Demo,9964195351,9998522952,62.99,93.26,Science,BSC [ECS],second,C,1255
3324,BHOSALE SANSKAR BAJRANG,at post sangola,413330,20-10-2002 00:00,male,7.85E+10,Demo,Demo,9589194866,9935614096,67.69,86.13,Science,BSC [ECS],second,C,1256
3325,BHOSALE SAYALI SAMADHAN,at post sangola,413331,03-05-2002 00:00,male,7.85E+10,Demo,Demo,9010680902,9311380182,65.54,66.53,Science,BSC [ECS],second,C,1257
3326,BORAGE SHIVAM DNYANESHWAR,at post sangola,413332,25-10-2004 00:00,female,7.85E+10,Demo,Demo,9512196126,9966505635,64.32,75.47,Science,BSC [ECS],second,C,1258
3327,BUVA ROHAN APPASAHEB,at post sangola,413333,27-06-2000 00:00,male,7.85E+10,Demo,Demo,9154390180,9710505419,94.83,76.39,Science,BSC [ECS],second,C,1259
3328,CHANDANSHIVE ADARSH MAHENDRA,at post sangola,413334,15-03-2004 00:00,female,7.85E+10,Demo,Demo,9678144054,9005967018,69.9,89.68,Science,BSC [ECS],second,C,1260
3329,CHAUGULE BASAWESHWAR SURESH,at post sangola,413335,21-08-2004 00:00,male,7.85E+10,Demo,Demo,9221976544,9798007730,81.9,78.43,Science,BSC [ECS],second,C,1261
3330,CHAUGULE OM HANAMANT,at post sangola,413336,18-11-2005 00:00,female,7.85E+10,Demo,Demo,9148697859,9609787797,75.19,85.34,Science,BSC [ECS],second,C,1262
3331,CHAVAN HARSHAVARDHAN HANMANT,at post sangola,413337,21-09-2001 00:00,male,7.85E+10,Demo,Demo,9303039601,9830988727,88.18,83.76,Science,BSC [ECS],second,C,1263
3332,DESHMUKH KEDAR KAILAS,at post sangola,413338,26-12-2002 00:00,female,7.85E+10,Demo,Demo,9347136767,9536088372,75.65,91.97,Science,BSC [ECS],second,C,1264
3333,DHAWARE YASHVANT RAMCHANDRA,at post sangola,413339,22-05-2003 00:00,male,7.85E+10,Demo,Demo,9979612216,9023608866,70.13,75.48,Science,BSC [ECS],second,C,1265
3334,DHOLE PRASHANT VILAS,at post sangola,413340,12-09-2004 00:00,male,7.85E+10,Demo,Demo,9225490202,9513446883,82.88,86.75,Science,BSC [ECS],second,C,1266
3335,DHOTRE AKANKSHA ANIL,at post sangola,413341,26-07-2000 00:00,male,7.85E+10,Demo,Demo,9531184259,9431794565,88.42,79.17,Science,BSC [ECS],second,C,1267
3336,GAIKWAD OMKAR SAMBHAJI,at post sangola,413342,25-06-2001 00:00,male,7.85E+10,Demo,Demo,9436230832,9251782067,76.44,85.24,Science,BSC [ECS],second,C,1268
3337,GAIKWAD SURAJ SUBHASH,at post sangola,413343,05-04-2001 00:00,male,7.85E+10,Demo,Demo,9943337948,9173899093,70.42,66.3,Science,BSC [ECS],second,C,1269
3338,GAIKWAD YASH SANDIP,at post sangola,413344,14-01-2000 00:00,male,7.85E+10,Demo,Demo,9557465555,9450697357,62.16,64.42,Science,BSC [ECS],second,C,1270
3339,GEJAGE SHRAVANI SURYAKANT,at post sangola,413345,19-02-2003 00:00,female,7.85E+10,Demo,Demo,9105321634,9840092259,77.91,82.02,Science,BSC [ECS],second,C,1271
3340,GHARAGE PRAGATI SIDDHANATH,at post sangola,413346,23-09-2003 00:00,female,7.85E+10,Demo,Demo,9504913114,9857605020,89.2,84.23,Science,BSC [ECS],second,C,1272
3341,GORE ANIKET SHIVAJI,at post sangola,413347,17-05-2000 00:00,male,7.85E+10,Demo,Demo,9045621432,9967226509,94.98,84.24,Science,BSC [ECS],second,C,1273
3342,GORE ROHAN NAGESH,at post sangola,413348,26-08-2002 00:00,female,7.85E+10,Demo,Demo,9309574754,9103387333,91.3,77.28,Science,BSC [ECS],second,C,1274
3343,GORE ROHAN PARAMESHWAR,at post sangola,413349,05-11-2001 00:00,female,7.85E+10,Demo,Demo,9973310366,9412010908,77.32,73.59,Science,BSC [ECS],second,C,1275
3344,HONMANE KANHAIYA LALASO,at post sangola,413350,19-12-2004 00:00,male,7.85E+10,Demo,Demo,9334843614,9070940558,79.83,85.17,Science,BSC [ECS],second,C,1276
3345,INGOLE PRATAP ANIL,at post sangola,413351,19-07-2003 00:00,male,7.85E+10,Demo,Demo,9753896780,9536820935,73.95,62.22,Science,BSC [ECS],second,C,1277
3346,JADHAV ADITYA ANANDA,at post sangola,413352,04-02-2004 00:00,male,7.85E+10,Demo,Demo,9414408686,9908528074,88.42,92.1,Science,BSC [ECS],second,C,1278
3347,JADHAV DATTATRAY DADASO,at post sangola,413353,05-12-2001 00:00,female,7.85E+10,Demo,Demo,9497342417,9698038689,85.72,87.67,Science,BSC [ECS],second,C,1279
3348,JADHAV ONKAR AJAY,at post sangola,413354,28-08-2004 00:00,female,7.85E+10,Demo,Demo,9023394461,9541885515,78.44,65.17,Science,BSC [ECS],second,C,1280
3349,JADHAV SAMARTH SANJAY,at post sangola,413355,23-12-2002 00:00,male,7.85E+10,Demo,Demo,9931214106,9760931302,74.65,62.95,Science,BSC [ECS],second,C,1281
3350,JADHAV SUYOG TANAJI,at post sangola,413356,16-01-2002 00:00,male,7.85E+10,Demo,Demo,9551189392,9950819323,79.73,79.51,Science,BSC [ECS],second,C,1282
3351,KADLASKAR BALAJI DHANANJAY,at post sangola,413357,14-05-2005 00:00,male,7.85E+10,Demo,Demo,9495787861,9926436306,77,73.25,Science,BSC [ECS],second,C,1283
3352,KALE ANIKET VIKAS,at post sangola,413358,13-08-2001 00:00,female,7.85E+10,Demo,Demo,9592362786,9494721796,83.23,88.26,Science,BSC [ECS],second,C,1284
3353,KASHID MAYURI JITENDRA,at post sangola,413359,14-12-2005 00:00,male,7.85E+10,Demo,Demo,9916927018,9914448734,65.12,74.58,Science,BSC [ECS],second,C,1285
3354,KATKAR SANIKA BABAN,at post sangola,413360,17-03-2004 00:00,male,7.85E+10,Demo,Demo,9959423836,9281510617,78.09,72.37,Science,BSC [ECS],second,C,1286
3355,KATKAR SHRUTI TANAJI,at post sangola,413361,12-10-2002 00:00,male,7.85E+10,Demo,Demo,9875379256,9858344400,83.25,84.02,Science,BSC [ECS],second,C,1287
3356,KAZI REHAN MUSAALLI,at post sangola,413362,16-11-2005 00:00,male,7.85E+10,Demo,Demo,9556755874,9326666575,89.79,64.43,Science,BSC [ECS],second,C,1288
3357,KEDAR BHAGYASHRI BHAGWAN,at post sangola,413363,22-08-2004 00:00,male,7.85E+10,Demo,Demo,9973798734,9195374256,87.86,93.12,Science,BSC [ECS],second,C,1289
3358,KHANDAGALE SUDAM VISHWANATH,at post sangola,413364,12-01-2003 00:00,female,7.85E+10,Demo,Demo,9536923779,9214861302,75.45,61.87,Science,BSC [ECS],second,C,1290
3359,KHATKALE SHUBHAM SUBHASH,at post sangola,413365,10-11-2003 00:00,male,7.85E+10,Demo,Demo,9472864124,9030187274,83.58,81.97,Science,BSC [ECS],second,C,1291
3360,KOLASE GAYATRI DADASO,at post sangola,413366,25-12-2005 00:00,female,7.85E+10,Demo,Demo,9419311278,9496612748,82.96,84.94,Science,BSC [ECS],second,C,1292
3361,KOLEKAR SAURABH LAXMAN,at post sangola,413367,09-11-2002 00:00,female,7.85E+10,Demo,Demo,9429606205,9884816618,67.14,93.55,Science,BSC [ECS],second,C,1293
3362,KOLI SRUSHTI NAMDEV,at post sangola,413368,01-08-2005 00:00,female,7.85E+10,Demo,Demo,9084213734,9328973147,75.84,68.7,Science,BSC [ECS],second,C,1294
3363,LANDAGE SUMIT SHRIKANT,at post sangola,413369,25-07-2004 00:00,male,7.85E+10,Demo,Demo,9994538713,9990046173,79.97,81.91,Science,BSC [ECS],second,C,1295
3364,LENDAVE ANJALI BHAUSAHEB,at post sangola,413370,15-04-2003 00:00,male,7.85E+10,Demo,Demo,9085607539,9288382501,61.91,81.57,Science,BSC [ECS],second,C,1296
3365,LONDHE GANESH HARIDAS,at post sangola,413371,24-08-2004 00:00,female,7.85E+10,Demo,Demo,9149490233,9422057291,79.84,73.18,Science,BSC [ECS],second,C,1297
3366,MANE SHIVAM SANTOSH,at post sangola,413372,19-01-2000 00:00,female,7.85E+10,Demo,Demo,9464834304,9769401765,77.84,84.12,Science,BSC [ECS],second,C,1298
3367,MISAL ANIKET PANDURANG,at post sangola,413373,03-12-2002 00:00,male,7.85E+10,Demo,Demo,9529607165,9279537584,68.4,83.26,Science,BSC [ECS],second,C,1299
3368,MORE ATHRAV CHANDRAKANT,at post sangola,413374,20-02-2002 00:00,male,7.85E+10,Demo,Demo,9096509476,9149561988,83.47,70.68,Science,BSC [ECS],second,C,1300
3369,MORE DINESHSINH DATTATRAY,at post sangola,413375,11-08-2001 00:00,female,7.85E+10,Demo,Demo,9875125730,9569614138,88.46,61.59,Science,BSC [ECS],second,C,1301
3370,MORE GAURI HANMANT,at post sangola,413376,01-07-2001 00:00,male,7.85E+10,Demo,Demo,9598457792,9047133666,94.8,76.48,Science,BSC [ECS],second,C,1302
3371,MORE SAHIL GAIBI,at post sangola,413377,23-01-2001 00:00,female,7.85E+10,Demo,Demo,9569554693,9673204407,71.4,60.57,Science,BSC [ECS],second,C,1303
3372,MULANI JISHAN RASHID,at post sangola,413378,08-06-2004 00:00,male,7.85E+10,Demo,Demo,9093894029,9712589123,67.14,79.85,Science,BSC [ECS],second,C,1304
3373,NADAF SAMIR MIRASAB,at post sangola,413379,23-02-2003 00:00,female,7.85E+10,Demo,Demo,9928275531,9476366920,87.97,75.95,Science,BSC [ECS],second,C,1305
3374,NAGANE YASH VIJAY,at post sangola,413380,03-08-2002 00:00,male,7.85E+10,Demo,Demo,9984644268,9209443066,94.68,87.95,Science,BSC [ECS],second,C,1306
3375,NAHAR MANPREETKAUR SATNAMSINGH,at post sangola,413381,15-08-2002 00:00,female,7.85E+10,Demo,Demo,9748854591,9044045034,69.21,65.33,Science,BSC [ECS],second,C,1307
3376,NIMBALKAR PRAVIN SANTOSH,at post sangola,413382,24-05-2000 00:00,male,7.85E+10,Demo,Demo,9798493615,9623340020,64.85,69.17,Science,BSC [ECS],second,C,1308
3377,PATIL ATHARV SAHADEV,at post sangola,413383,21-04-2002 00:00,female,7.85E+10,Demo,Demo,9204052889,9635526194,74.8,74.58,Science,BSC [ECS],second,C,1309
3378,PATIL SAMARTH SANTOSH,at post sangola,413384,02-04-2001 00:00,female,7.85E+10,Demo,Demo,9736397032,9871682450,77.78,82.2,Science,BSC [ECS],second,C,1310
3379,PATIL YASH KIRAN,at post sangola,413385,17-12-2000 00:00,male,7.85E+10,Demo,Demo,9898249485,9732301623,90.61,81.37,Science,BSC [ECS],second,C,1311
3380,PAWAR PRASHANT DHANAJI,at post sangola,413386,27-04-2005 00:00,female,7.85E+10,Demo,Demo,9180500886,9810568042,63.53,65.15,Science,BSC [ECS],second,C,1312
3381,PAWAR SATYAJIT SHASHIKANT,at post sangola,413387,20-11-2001 00:00,female,7.85E+10,Demo,Demo,9530773558,9013291396,70.36,77.35,Science,BSC [ECS],second,C,1313
3382,PAWAR SHIVAJI MADHUKAR,at post sangola,413388,25-12-2001 00:00,female,7.85E+10,Demo,Demo,9965905714,9809642206,90.91,73.31,Science,BSC [ECS],second,C,1314
3383,RADDI RAJKIRAN SANJAY,at post sangola,413389,12-01-2005 00:00,male,7.85E+10,Demo,Demo,9001649747,9115803064,94.15,86.16,Science,BSC [ECS],second,C,1315
3384,RAUT AVISHKAR HANMANT,at post sangola,413390,21-04-2001 00:00,female,7.85E+10,Demo,Demo,9986598799,9339004001,67.98,73.83,Science,BSC [ECS],second,C,1316
3385,RAUT ROHIT RAJENDRA,at post sangola,413391,19-04-2000 00:00,male,7.85E+10,Demo,Demo,9495931607,9360209554,71.5,85.97,Science,BSC [ECS],second,C,1317
3386,ROKADE SUJIT SHIVAJI,at post sangola,413392,12-02-2001 00:00,male,7.85E+10,Demo,Demo,9224254960,9217793979,89.44,65.53,Science,BSC [ECS],second,C,1318
3387,SALUNKHE ADARSH NITIN,at post sangola,413393,24-06-2001 00:00,female,7.85E+10,Demo,Demo,9183708407,9632727759,83.62,86.76,Science,BSC [ECS],second,C,1319
3388,SALUNKHE SHUBHAM SANJAY,at post sangola,413394,05-04-2000 00:00,female,7.85E+10,Demo,Demo,9122084570,9471613108,63.42,90.82,Science,BSC [ECS],second,C,1320
3389,SAWANT DIKSHA SACHIN,at post sangola,413395,15-05-2000 00:00,female,7.85E+10,Demo,Demo,9788186085,9057423606,93.13,74.07,Science,BSC [ECS],second,C,1321
3390,SAWANT SANIKA UTTARESHWAR,at post sangola,413396,06-08-2000 00:00,male,7.85E+10,Demo,Demo,9640722963,9500970065,71.26,82.88,Science,BSC [ECS],second,C,1322
3391,SHAIKH MISBA ARIF,at post sangola,413397,05-04-2003 00:00,male,7.85E+10,Demo,Demo,9091178892,9306499881,85.75,74.64,Science,BSC [ECS],second,C,1323
3392,SHINDE HARSHAVARDHAN MAHADEV,at post sangola,413398,07-07-2003 00:00,male,7.85E+10,Demo,Demo,9151401164,9677650184,93.38,74.34,Science,BSC [ECS],second,C,1324
3393,SHINDE RUSHIKESH VIKAS,at post sangola,413399,25-11-2000 00:00,male,7.85E+10,Demo,Demo,9608213838,9636396891,69.49,93.72,Science,BSC [ECS],second,C,1325
3394,SHINDE SAKSHI DHANAJI,at post sangola,413400,11-09-2002 00:00,male,7.85E+10,Demo,Demo,9617969603,9261225807,90.17,66.38,Science,BSC [ECS],second,C,1326
3395,SHINDE SANKET CHANDRASEN,at post sangola,413401,23-04-2004 00:00,female,7.85E+10,Demo,Demo,9697539319,9236474363,67.92,83.79,Science,BSC [ECS],second,C,1327
3396,SHIRTODE AKSHAY BALU,at post sangola,413402,05-04-2002 00:00,female,7.85E+10,Demo,Demo,9464567499,9233461831,90.94,70.34,Science,BSC [ECS],second,C,1328
3397,UBALE RIYA PRASHANT,at post sangola,413403,08-11-2000 00:00,male,7.85E+10,Demo,Demo,9871683405,9533349092,71.87,61.49,Science,BSC [ECS],second,C,1329
3398,YADAV SAURABH DNYANESHWAR,at post sangola,413404,17-12-2000 00:00,male,7.85E+10,Demo,Demo,9938417437,9180987789,61.19,82.39,Science,BSC [ECS],second,C,1330
3399,YADAV VIRAJ DADASAHEB,at post sangola,413405,16-11-2000 00:00,male,7.85E+10,Demo,Demo,9893310964,9396473750,90.37,86.68,Science,BSC [ECS],second,C,1331
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
